t_hours,pEGFR_raw,pEGFR_norm,panRAS_raw,panRAS_norm,pCRAF_raw,pCRAF_norm,pMEK_raw,pMEK_norm,pERK_raw,pERK_norm,DUSP_raw,DUSP_norm,pAKT_raw,pAKT_norm,p4EBP1_raw,p4EBP1_norm,pHer2_raw,pHer2_norm,pHer3_raw,pHer3_norm,pDGFR_raw,pDGFR_norm,pS6K_raw,pS6K_norm
0.0,0.35,0.9993401912819184,1.0,0.0,0.366,0.46944059304375707,1.759,0.9999999999998977,1.0,0.9999999999999966,2.677,0.9999999999999998,0.513,0.30909884852022557,1.002,0.5632689926264992,0.245,0.0,0.203,0.05641279254805013,0.474,0.0,1.432,0.9999999999999983
0.2412060301507538,0.35010537375967726,0.9998057228380149,1.000064045241549,0.0044860852255384255,3.4517725285033785,0.47559527857482126,1.7570567171042752,0.10507061353307798,0.9945708285609233,0.9165737989586664,2.396628497619995,0.8905308304947073,0.5137509165472214,0.39608356008683193,1.0764163671386986,0.644854576525308,0.24510281596789504,0.003304967181220062,0.20308250611144305,0.0668026379833799,0.4742225597950264,0.0016638757806367649,1.4299846279718025,0.9851855111802247
0.4824120603015076,0.3501493486840612,0.999999999999999,1.000128094585462,0.00897245780348748,6.511403477251095,0.4816978237743494,1.7568630501825122,0.0158822509670189,0.9897122827178688,0.8419159940211033,2.1694589400012485,0.8018340028987854,0.5144308619389899,0.4748471111137507,1.1385378066210725,0.7129607486978591,0.24521928051164368,0.007048660916204219,0.20317103151431648,0.07795048190510398,0.47451767753670354,0.0038702008842091858,1.4279879768696808,0.9705086351416969
0.7236180904522613,0.3501334349789296,0.9999296947177745,1.0001921480348424,0.013459117951219245,9.546810536522086,0.48775205354534495,1.756843153495356,0.006719339036552946,0.9853298699989252,0.774574586839671,1.9816631552791482,0.7285104004084735,0.5150447313838231,0.545956553029709,1.1902668704336767,0.7696733515560998,0.2453482961932708,0.011195804617420342,0.20326478374206314,0.08975653043252947,0.47488156270650345,0.006590637074811433,1.426009990943827,0.955968962081712
0.9648241206030151,0.3500592228778757,0.9996018324967564,1.0002562055972686,0.017946066199581362,12.561048088184421,0.4937640599635253,1.756840500290818,0.005497473339873791,0.9813627412378334,0.7136145517231571,1.8238224059002557,0.6668825402232343,0.515597156500556,0.6099484035475489,1.2332118325082038,0.8167555989309581,0.24548890675163795,0.015715659755202106,0.20336308518754914,0.1021354537244639,0.47531073890572717,0.009799194502846647,1.4240506124281298,0.9415660673762297
1.2060301507537687,0.34992831930720164,0.9990235125892089,1.0003202672869425,0.022433303543343518,15.557944145266982,0.49974147814009307,1.75683956503391,0.0050667646186510545,0.9777723033518868,0.6584428563253181,1.6892992394046715,0.6143588736220027,0.5160925129373367,0.6673295292338443,1.2687323090866032,0.8556980914690768,0.24564024758602995,0.020580434177737205,0.20346533221153945,0.11501123658347412,0.47580194621834604,0.013471501761402016,1.4221097816385517,0.9272995123030242
1.4472361809045227,0.34974231280415646,0.9982017530062548,1.0003843331267765,0.026920831587429007,18.54169430475482,0.5056926763458199,1.7568388109093984,0.004719471804061583,0.9745298798493456,0.6086188494727846,1.5732829484239828,0.5690610922321987,0.5165349265145925,0.7185778570981709,1.2979772863011645,0.8877605077613198,0.24580151752483997,0.025764374629754866,0.20357097180085892,0.12831423906031353,0.47635208580029603,0.017584391631144503,1.4201874371752803,0.91316884552764
1.6884422110552764,0.34950276664008456,0.9971434601365794,1.0004484031503103,0.031408652681123646,21.516463508122264,0.5116259617079464,1.756838088188128,0.004386640951427924,0.9716064536035502,0.5636966456985936,1.4722038539533635,0.5295954388682967,0.5169282784284184,0.7641429773434517,1.32191707582353,0.9140066385749412,0.24597197131671972,0.031243525384354716,0.20367949535890695,0.1419804145046568,0.4769582052649212,0.022115791820664542,1.418283515991717,0.8991736036105165
1.9296482412060303,0.3492112331036539,0.9958554918484158,1.0005124774036949,0.03589677005712174,24.48605397261831,0.5175489178870541,1.7568373843505631,0.004062506507847186,0.9689686769043457,0.5231638145512695,1.3833528547416716,0.4949041631471413,0.5172762206110026,0.8044479226878323,1.34137254831955,0.9353364366374642,0.24615092296184524,0.03699583532485828,0.20379044169812482,0.15595168640110688,0.4776175016014345,0.027044746785134518,1.4163979535075875,0.8853133118384277
2.1708542713567835,0.348869266191103,0.9943447135538868,1.0005765559475226,0.04038518795963812,27.453647946723013,0.5234678919934683,1.756836700087816,0.003747386747456787,0.9665808736561382,0.48647214694278096,1.3046381797300082,0.46417054711177524,0.5175821829903782,0.839890009320086,1.357037710432852,0.9525107686698406,0.24633775194654792,0.04300135835386206,0.2039034022307232,0.17017660202811521,0.4783273328176635,0.03235150476845757,1.4145306836630314,0.8715874846220907
2.4120603015075375,0.3484784257709183,0.9926180166081648,1.0006406388585878,0.044873911767776435,30.421651417901415,0.5293876828566886,1.756836037060716,0.0034420465228197283,0.9644088830357083,0.4530967178937608,1.2344195216230294,0.4367541437986857,0.5178493817093827,0.8708417889680055,1.369499119450479,0.9661727004463556,0.24653190367857009,0.04924226738430853,0.204018021333665,0.18461037841962252,0.47908521841113816,0.03801752132515952,1.4126816390678991,0.8579956265936008
2.6532663316582914,0.348040273832985,0.9906823017385663,1.0007047262315563,0.04936294811245843,33.39163951791886,0.535311432134305,1.7568353967525363,0.0031471689177267623,0.9624226402771704,0.4225755436132806,1.17139242243702,0.4121456363517741,0.5180808287304478,0.897652161498479,1.3792525429300366,0.9768657613977044,0.24673288391475767,0.055702675220490785,0.20413399177889582,0.19921432690223323,0.47988882771848934,0.04402537221950926,1.4108507510440975,0.8445372329177068
2.8944723618090453,0.3475563663553819,0.9885444431128015,1.0007688181805798,0.05385230498951154,36.364389984861205,0.5412406910532145,1.7568347804092146,0.002863327716856182,0.9605969633070779,0.3945216691588454,1.1145064336755899,0.38993488421277467,0.5182793414760041,0.9206474916432236,1.386717042286883,0.9850493850003662,0.24694025038221917,0.062368365224453735,0.20425104782289236,0.2139549828745474,0.4807359629311562,0.05035862644951752,1.4090379497330923,0.8312117900820344
3.1356783919597992,0.34702824431403706,0.9862112486204618,1.0008329148408024,0.05834199186516652,39.339983983912425,0.5471756215003284,1.7568341890828227,0.0025910074251342665,0.9589112308295461,0.3686182218003324,1.0629062474394437,0.36978793815855904,0.518447551854103,0.9401326545093018,1.3922467940287853,0.9911118688601022,0.24715360425621435,0.06922651737704555,0.20436895815722966,0.2288032180848391,0.4816245421284404,0.05700171940061925,1.4072431641967516,0.8180187766383616
3.3768844221105527,0.3464574272231544,0.9836894313352198,1.0008970163699036,0.06283201978418358,42.31794890708781,0.5531152808418333,1.7568336236784374,0.0023306248525478477,0.957348630410109,0.34460685686148695,1.0158880434491069,0.35142999628942967,0.5185879171134664,0.9563922930069234,1.3961413001074214,0.9953815687210318,0.2473725824008765,0.07626545885986681,0.20448751957031505,0.2437334424646661,0.4825525827755338,0.06393982947553957,1.4054663224420127,0.8049576633839377
3.6180904522613067,0.345845405507644,0.980985575816929,1.0009611229492306,0.06732240144912725,45.29741984761829,0.5590579439897235,1.7568330849907428,0.00208254597059408,0.95589540310054,0.32227615040888863,0.9728680987832433,0.334633147912333,0.5187027258621364,0.9696915150380998,1.3986535047137107,0.9981357972269111,0.24759685168247372,0.08347448125793637,0.20460655213539722,0.2587229981635609,0.4835181917457191,0.0711588034994237,1.403707351571175,0.7920279144662461
3.8592964824120606,0.34519363929386837,0.9781061327692541,1.001025234785448,0.07181315133594247,48.277294559985386,0.5650014124752264,1.7568325737341957,0.0018470998041980713,0.9545401545216067,0.3014510131525312,0.9333573215815127,0.31920643039622876,0.5187941113367962,0.9802774305890027,1.3999974347297737,0.9996092004484803,0.24782610348951084,0.0908436644111454,0.20472589487155324,0.273751613144968,0.48451955175632827,0.0786450553139207,1.4019661777431869,0.7792289870984367
4.100502512562814,0.34450355371998215,0.9750573983211815,1.001089352111467,0.07630428575901387,51.25637121608424,0.5709432892084786,1.7568320905624781,0.0016245873899357025,0.9532733520293347,0.2819849637588302,0.8969434443031752,0.3049888766495412,0.5188640568691917,0.9883797849495595,1.4003538933283857,0.9999999999999998,0.2480600503988175,0.09836376924734809,0.2048454028773295,0.28880104023082903,0.4855549160496881,0.08638552601148226,1.4002427262851656,0.7665603323790817
